Año,Alcaldía,Grupo de edad,Población,menores_de_18,mayores_de_18,Categoria de Edad,Categoria de edad
2020,Álvaro Obregón,0 a 4 años,38484,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,5 a 9 años,46700,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,10 a 14 años,50868,True,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,15 a 19 años,54848,False,False,Menores de Edad,Menores de Edad
2020,Álvaro Obregón,20 a 24 años,59941,False,False,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,25 a 29 años,60708,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,30 a 34 años,59486,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,35 a 39 años,57172,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,40 a 44 años,55144,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,45 a 49 años,55973,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,50 a 54 años,52721,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,55 a 59 años,43950,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,60 a 64 años,38506,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,65 a 69 años,29503,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,70 a 74 años,21797,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,75 a 79 años,14182,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,80 a 84 años,9657,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,85 a 89 años,5536,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,90 a 94 años,2332,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,95 a 99 años,715,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,100 años y más,91,False,True,Mayores de edad,Mayores de Edad
2020,Álvaro Obregón,No especificado,823,False,False,,
2020,Azcapotzalco ,0 a 4 años,21060,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,5 a 9 años,23420,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,10 a 14 años,25886,True,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,15 a 19 años,27983,False,False,Menores de Edad,Menores de Edad
2020,Azcapotzalco ,20 a 24 años,31456,False,False,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,25 a 29 años,34405,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,30 a 34 años,34905,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,35 a 39 años,33162,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,40 a 44 años,31245,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,45 a 49 años,31859,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,50 a 54 años,31135,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,55 a 59 años,26674,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,60 a 64 años,23787,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,65 a 69 años,18059,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,70 a 74 años,14232,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,75 a 79 años,9631,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,80 a 84 años,6845,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,85 a 89 años,3794,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,90 a 94 años,1689,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,95 a 99 años,535,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,100 años y más,78,False,True,Mayores de edad,Mayores de Edad
2020,Azcapotzalco ,No especificado,365,False,False,,
2020,Benito Juárez,0 a 4 años,16642,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,5 a 9 años,17069,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,10 a 14 años,17532,True,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,15 a 19 años,18970,False,False,Menores de Edad,Menores de Edad
2020,Benito Juárez,20 a 24 años,25111,False,False,Mayores de edad,Mayores de Edad
2020,Benito Juárez,25 a 29 años,37175,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,30 a 34 años,45187,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,35 a 39 años,42967,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,40 a 44 años,36849,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,45 a 49 años,33531,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,50 a 54 años,29025,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,55 a 59 años,26713,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,60 a 64 años,25751,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,65 a 69 años,20433,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,70 a 74 años,16089,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,75 a 79 años,10426,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,80 a 84 años,7348,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,85 a 89 años,4421,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,90 a 94 años,2099,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,95 a 99 años,660,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,100 años y más,117,False,True,Mayores de edad,Mayores de Edad
2020,Benito Juárez,No especificado,38,False,False,,
2020,Coyoacán,0 a 4 años,26627,True,False,Menores de Edad,Menores de Edad
2020,Coyoacán,5 a 9 años,30448,True,False,Menores de Edad,Menores de Edad
2020,Coyoacán,10 a 14 años,34252,True,False,Menores de Edad,Menores de Edad
2020,Coyoacán,15 a 19 años,39399,False,False,Menores de Edad,Menores de Edad
2020,Coyoacán,20 a 24 años,47036,False,False,Mayores de edad,Mayores de Edad
2020,Coyoacán,25 a 29 años,47839,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,30 a 34 años,45644,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,35 a 39 años,44680,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,40 a 44 años,44815,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,45 a 49 años,46180,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,50 a 54 años,43229,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,55 a 59 años,37578,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,60 a 64 años,36144,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,65 a 69 años,30490,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,70 a 74 años,24070,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,75 a 79 años,15949,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,80 a 84 años,10393,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,85 a 89 años,5837,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,90 a 94 años,2742,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,95 a 99 años,836,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,100 años y más,131,False,True,Mayores de edad,Mayores de Edad
2020,Coyoacán,No especificado,128,False,False,,
2020,Cuajimalpa de Morelos,0 a 4 años,14255,True,False,Menores de Edad,Menores de Edad
2020,Cuajimalpa de Morelos,5 a 9 años,15279,True,False,Menores de Edad,Menores de Edad
2020,Cuajimalpa de Morelos,10 a 14 años,15773,True,False,Menores de Edad,Menores de Edad
2020,Cuajimalpa de Morelos,15 a 19 años,16776,False,False,Menores de Edad,Menores de Edad
2020,Cuajimalpa de Morelos,20 a 24 años,18294,False,False,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,25 a 29 años,18450,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,30 a 34 años,18156,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,35 a 39 años,16830,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,40 a 44 años,15914,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,45 a 49 años,15880,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,50 a 54 años,14603,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,55 a 59 años,11557,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,60 a 64 años,9043,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,65 a 69 años,6259,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,70 a 74 años,4385,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,75 a 79 años,2805,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,80 a 84 años,1829,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,85 a 89 años,1006,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,90 a 94 años,354,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,95 a 99 años,98,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,100 años y más,24,False,True,Mayores de edad,Mayores de Edad
2020,Cuajimalpa de Morelos,No especificado,116,False,False,,
2020,Cuauhtémoc,0 a 4 años,26032,True,False,Menores de Edad,Menores de Edad
2020,Cuauhtémoc,5 a 9 años,27530,True,False,Menores de Edad,Menores de Edad
2020,Cuauhtémoc,10 a 14 años,29907,True,False,Menores de Edad,Menores de Edad
2020,Cuauhtémoc,15 a 19 años,31790,False,False,Menores de Edad,Menores de Edad
2020,Cuauhtémoc,20 a 24 años,38297,False,False,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,25 a 29 años,50171,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,30 a 34 años,53817,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,35 a 39 años,47893,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,40 a 44 años,40991,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,45 a 49 años,38772,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,50 a 54 años,35732,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,55 a 59 años,31077,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,60 a 64 años,29518,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,65 a 69 años,22337,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,70 a 74 años,16920,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,75 a 79 años,10819,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,80 a 84 años,7568,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,85 a 89 años,4157,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,90 a 94 años,1857,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,95 a 99 años,546,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,100 años y más,87,False,True,Mayores de edad,Mayores de Edad
2020,Cuauhtémoc,No especificado,66,False,False,,
2020,Gustavo A. Madero,0 a 4 años,63262,True,False,Menores de Edad,Menores de Edad
2020,Gustavo A. Madero,5 a 9 años,71634,True,False,Menores de Edad,Menores de Edad
2020,Gustavo A. Madero,10 a 14 años,77449,True,False,Menores de Edad,Menores de Edad
2020,Gustavo A. Madero,15 a 19 años,84333,False,False,Menores de Edad,Menores de Edad
2020,Gustavo A. Madero,20 a 24 años,91577,False,False,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,25 a 29 años,91448,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,30 a 34 años,87626,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,35 a 39 años,83599,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,40 a 44 años,81503,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,45 a 49 años,84691,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,50 a 54 años,82520,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,55 a 59 años,70006,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,60 a 64 años,62094,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,65 a 69 años,46560,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,70 a 74 años,36300,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,75 a 79 años,25079,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,80 a 84 años,17679,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,85 a 89 años,10023,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,90 a 94 años,4209,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,95 a 99 años,1338,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,100 años y más,187,False,True,Mayores de edad,Mayores de Edad
2020,Gustavo A. Madero,No especificado,234,False,False,,
2020,Iztacalco,0 a 4 años,20466,True,False,Menores de Edad,Menores de Edad
2020,Iztacalco,5 a 9 años,23276,True,False,Menores de Edad,Menores de Edad
2020,Iztacalco,10 a 14 años,25570,True,False,Menores de Edad,Menores de Edad
2020,Iztacalco,15 a 19 años,27759,False,False,Menores de Edad,Menores de Edad
2020,Iztacalco,20 a 24 años,30641,False,False,Mayores de edad,Mayores de Edad
2020,Iztacalco,25 a 29 años,31727,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,30 a 34 años,31735,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,35 a 39 años,30107,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,40 a 44 años,28748,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,45 a 49 años,30076,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,50 a 54 años,28900,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,55 a 59 años,24605,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,60 a 64 años,21833,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,65 a 69 años,16292,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,70 a 74 años,12400,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,75 a 79 años,8395,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,80 a 84 años,6174,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,85 a 89 años,3638,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,90 a 94 años,1642,False,True,Mayores de edad,Mayores de Edad
2020,Iztacalco,95 a 99 años,468,False,True,Mayores de edad,Mayores de Edad
